32 20  
33 21 !
34 22 "
35 23 #
36 24 $
37 25 %
38 26 &
39 27 '
40 28 (
41 29 )
42 2a *
43 2b +
44 2c ,
45 2d -
46 2e .
47 2f /
48 30 0
49 31 1
50 32 2
51 33 3
52 34 4
53 35 5
54 36 6
55 37 7
56 38 8
57 39 9
58 3a :
59 3b ;
60 3c <
61 3d =
62 3e >
63 3f ?
64 40 @
65 41 A
66 42 B
67 43 C
68 44 D
69 45 E
70 46 F
71 47 G
72 48 H
73 49 I
74 4a J
75 4b K
76 4c L
77 4d M
78 4e N
79 4f O
80 50 P
81 51 Q
82 52 R
83 53 S
84 54 T
85 55 U
86 56 V
87 57 W
88 58 X
89 59 Y
90 5a Z
91 5b [
92 5c \
93 5d ]
94 5e ^
95 5f _
96 60 `
97 61 a
98 62 b
99 63 c
100 64 d
101 65 e
102 66 f
103 67 g
104 68 h
105 69 i
106 6a j
107 6b k
108 6c l
109 6d m
110 6e n
111 6f o
112 70 p
113 71 q
114 72 r
115 73 s
116 74 t
117 75 u
118 76 v
119 77 w
120 78 x
121 79 y
122 7a z
123 7b {
124 7c |
125 7d }
126 7e ~
127 7f 
128 80 Ä
129 81 Å
130 82 Ç
131 83 É
132 84 Ñ
133 85 Ö
134 86 Ü
135 87 á
136 88 à
137 89 â
138 8a ä
139 8b ã
140 8c å
141 8d ç
142 8e é
143 8f è
144 90 ê
145 91 ë
146 92 í
147 93 ì
148 94 î
149 95 ï
150 96 ñ
151 97 ó
152 98 ò
153 99 ô
154 9a ö
155 9b õ
156 9c ú
157 9d ù
158 9e û
159 9f ü
160 a0 †
161 a1 °
162 a2 ¢
163 a3 £
164 a4 §
165 a5 •
166 a6 ¶
167 a7 ß
168 a8 ®
169 a9 ©
170 aa ™
171 ab ´
172 ac ¨
173 ad ≠
174 ae Æ
175 af Ø
176 b0 ∞
177 b1 ±
178 b2 ≤
179 b3 ≥
180 b4 ¥
181 b5 µ
182 b6 ∂
183 b7 ∑
184 b8 ∏
185 b9 π
186 ba ∫
187 bb ª
188 bc º
189 bd Ω
190 be æ
191 bf ø
192 c0 ¿
193 c1 ¡
194 c2 ¬
195 c3 √
196 c4 ƒ
197 c5 ≈
198 c6 ∆
199 c7 «
200 c8 »
201 c9 …
202 ca  
203 cb À
204 cc Ã
205 cd Õ
206 ce Œ
207 cf œ
208 d0 –
209 d1 —
210 d2 “
211 d3 ”
212 d4 ‘
213 d5 ’
214 d6 ÷
215 d7 ◊
216 d8 ÿ
217 d9 Ÿ
218 da ⁄
219 db €
220 dc ‹
221 dd ›
222 de ﬁ
223 df ﬂ
224 e0 ‡
225 e1 ·
226 e2 ‚
227 e3 „
228 e4 ‰
229 e5 Â
230 e6 Ê
231 e7 Á
232 e8 Ë
233 e9 È
234 ea Í
235 eb Î
236 ec Ï
237 ed Ì
238 ee Ó
239 ef Ô
240 f0 
241 f1 Ò
242 f2 Ú
243 f3 Û
244 f4 Ù
245 f5 ı
246 f6 ˆ
247 f7 ˜
248 f8 ¯
249 f9 ˘
250 fa ˙
251 fb ˚
252 fc ¸
253 fd ˝
254 fe ˛
255 ff ˇ
